City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bartica,GY,75.2,scattered clouds,6.4,-58.6167,Relax Inn Hotel
1,Bowen,AU,82.4,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
5,Kapaa,US,77.0,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
16,Rikitea,PF,80.26,broken clouds,-23.1203,-134.9692,Pension Maro'i
18,Pangai,TO,80.6,light rain,-19.8,-174.35,Ha'apai Beach Resort
23,Georgetown,MY,78.01,few clouds,5.4112,100.3354,Cititel Penang
24,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
27,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
34,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Pirineos
36,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
38,Atuona,PF,78.62,clear sky,-9.8,-139.0333,Villa Enata
50,San Andres,CO,82.4,few clouds,12.5847,-81.7006,Hotel Arena Blanca
52,Tucuma,BR,77.65,overcast clouds,-0.1833,-50.05,
58,Karratha,AU,82.78,light rain,-20.7377,116.8463,ibis Styles Karratha
66,Lorengau,PG,84.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
67,Buchanan,LR,77.0,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
76,Sumbe,AO,75.13,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
78,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
82,Tabou,CI,77.68,broken clouds,4.423,-7.3528,hotêl doufoulougou
83,Puerto Ayora,EC,84.2,light rain,-0.7393,-90.3518,Castillo Galapagos
86,Ixtapa,MX,75.2,scattered clouds,20.7,-105.2,Container Inn Puerto Vallarta
88,Arraial Do Cabo,BR,78.44,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
93,Kavaratti,IN,80.15,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
94,Manokwari,ID,79.63,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
96,Quatre Cocos,MU,80.6,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
97,Vaini,TO,75.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
105,Porto Walter,BR,79.09,moderate rain,-8.2686,-72.7439,Secretaria de saúde
109,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
110,Butaritari,KI,80.78,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
