,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Bartica,6.4,-58.6167,75.2,94,40,6.91,GY,scattered clouds
1,Bowen,-20.0167,148.2333,82.4,69,40,17.27,AU,scattered clouds
2,Cape Town,-33.9258,18.4232,70.0,83,40,9.22,ZA,scattered clouds
3,Kuching,1.55,110.3333,73.4,100,40,2.3,MY,moderate rain
4,Bethel,41.3712,-73.414,17.6,45,1,9.22,US,clear sky
5,Kapaa,22.0752,-159.319,77.0,69,75,19.57,US,broken clouds
6,Port Elizabeth,-33.918,25.5701,62.6,82,0,5.75,ZA,clear sky
7,East London,-33.0153,27.9116,71.02,67,18,2.21,ZA,few clouds
8,Hofn,64.2539,-15.2082,30.97,89,57,6.02,IS,broken clouds
9,Mataura,-46.1927,168.8643,61.59,50,23,2.66,NZ,few clouds
10,Itimadpur,27.25,78.2,47.32,51,0,5.91,IN,clear sky
11,Victoria,22.2855,114.1577,59.0,71,0,3.0,HK,clear sky
12,Petauke,-14.2426,31.3253,67.59,97,100,2.53,ZM,overcast clouds
13,Pisco,-13.7,-76.2167,73.4,73,0,18.41,PE,clear sky
14,Xichang,27.8964,102.2634,37.11,79,6,1.54,CN,clear sky
15,Severo-Kurilsk,50.6789,156.125,21.83,92,99,14.32,RU,overcast clouds
16,Rikitea,-23.1203,-134.9692,80.26,66,71,7.38,PF,broken clouds
17,Aksu,41.1231,80.2644,18.34,84,0,4.21,CN,clear sky
18,Pangai,-19.8,-174.35,80.6,83,75,9.22,TO,light rain
19,Sovetskaya Gavan,48.9723,140.2878,6.46,92,100,7.81,RU,overcast clouds
20,Ojuelos De Jalisco,21.8667,-101.5833,68.67,25,68,6.35,MX,broken clouds
21,Port Alfred,-33.5906,26.891,64.99,87,3,1.01,ZA,clear sky
22,Ponta Do Sol,32.6667,-17.1,60.8,82,40,9.22,PT,scattered clouds
23,Georgetown,5.4112,100.3354,78.01,83,20,4.61,MY,few clouds
24,Avarua,-21.2078,-159.775,84.2,70,69,10.36,CK,broken clouds
25,Hobart,-42.8794,147.3294,73.99,68,20,10.36,AU,few clouds
26,Bluff,-46.6,168.3333,53.78,66,78,2.8,NZ,broken clouds
27,Saint-Pierre,-21.3393,55.4781,77.0,65,0,6.91,RE,clear sky
28,Pangnirtung,66.1451,-65.7125,-9.4,77,1,1.59,CA,clear sky
29,Klaksvik,62.2266,-6.589,32.0,74,90,2.3,FO,overcast clouds
30,Kenai,60.5544,-151.2583,26.01,86,90,8.12,US,overcast clouds
31,Albany,42.6001,-73.9662,14.0,68,46,1.01,US,scattered clouds
32,Cam Ranh,11.9214,109.1591,71.6,64,20,8.05,VN,few clouds
33,Diego De Almagro,-26.3667,-70.05,74.39,27,0,8.77,CL,clear sky
34,San Cristobal,7.7669,-72.225,80.6,69,40,8.05,VE,scattered clouds
35,Ostrovnoy,68.0531,39.5131,7.99,93,100,19.08,RU,overcast clouds
36,Mahebourg,-20.4081,57.7,80.6,78,40,6.91,MU,light rain
37,Naze,28.3667,129.4833,53.6,54,75,9.22,JP,broken clouds
38,Atuona,-9.8,-139.0333,78.62,76,5,19.53,PF,clear sky
39,Longyearbyen,78.2186,15.6401,-0.4,55,20,25.32,SJ,few clouds
40,Lima,-12.0432,-77.0282,73.99,68,0,13.8,PE,clear sky
41,Saskylakh,71.9167,114.0833,-38.52,78,35,0.27,RU,scattered clouds
42,Kruisfontein,-34.0033,24.7314,60.01,86,9,2.98,ZA,clear sky
43,Olafsvik,64.8945,-23.7142,32.4,96,100,3.91,IS,light snow
44,Tateyama,34.9833,139.8667,41.0,52,20,4.61,JP,few clouds
45,Fairlie,55.756,-4.8556,35.01,88,42,16.84,GB,scattered clouds
46,Dunyapur,29.7995,71.7196,46.4,81,0,0.85,PK,mist
47,Yellowknife,62.456,-114.3525,-15.0,76,20,6.91,CA,few clouds
48,Husavik,66.0449,-17.3389,28.4,80,90,3.44,IS,overcast clouds
49,Laguna,38.421,-121.4238,53.01,71,90,0.43,US,overcast clouds
50,San Andres,12.5847,-81.7006,82.4,69,20,11.5,CO,few clouds
51,Nemuro,43.3236,145.575,28.27,98,100,10.11,JP,light snow
52,Tucuma,-0.1833,-50.05,77.65,89,100,9.22,BR,overcast clouds
53,Dikson,73.5069,80.5464,-32.48,85,99,6.91,RU,overcast clouds
54,Canton,23.1167,113.25,55.99,82,0,4.47,CN,clear sky
55,Matay,28.419,30.7792,42.93,65,0,2.73,EG,clear sky
56,Bredasdorp,-34.5322,20.0403,61.0,90,63,4.09,ZA,broken clouds
57,Springbok,-29.6643,17.8865,60.73,32,0,3.58,ZA,clear sky
58,Karratha,-20.7377,116.8463,82.78,72,59,4.38,AU,light rain
59,Burns Lake,54.2331,-125.7533,12.2,73,100,3.44,CA,overcast clouds
60,Mar Del Plata,-38.0023,-57.5575,73.4,68,0,8.05,AR,clear sky
61,Hildburghausen,50.4255,10.7318,43.0,99,76,10.2,DE,broken clouds
62,Tuktoyaktuk,69.4541,-133.0374,-34.6,67,20,2.3,CA,few clouds
63,Port Hardy,50.6996,-127.4199,42.8,87,90,18.41,CA,light rain
64,Bredy,52.4153,60.3411,14.32,96,100,7.7,RU,overcast clouds
65,Terrasini,38.146,13.0844,60.8,72,86,14.97,IT,overcast clouds
66,Lorengau,-2.0226,147.2712,84.58,73,98,10.45,PG,overcast clouds
67,Buchanan,5.8808,-10.0467,77.0,94,40,6.91,LR,scattered clouds
68,Linjiang,41.8069,126.9078,5.34,90,100,1.7,CN,light snow
69,New Norfolk,-42.7826,147.0587,73.99,73,52,1.01,AU,broken clouds
70,Torbay,47.6666,-52.7314,28.0,93,90,21.85,CA,light snow
71,Busselton,-33.65,115.3333,64.99,76,0,7.0,AU,clear sky
72,Cheremukhovo,60.3484,59.9851,-11.45,89,100,6.91,RU,overcast clouds
73,Ushuaia,-54.8,-68.3,42.8,75,75,21.85,AR,broken clouds
74,Hilo,19.7297,-155.09,71.6,83,75,6.91,US,moderate rain
75,Cockburn Town,21.4612,-71.1419,71.6,56,75,17.27,TC,broken clouds
76,Sumbe,-11.2061,13.8437,75.13,84,100,6.93,AO,overcast clouds
77,Khatanga,71.9667,102.5,-43.29,74,0,3.53,RU,clear sky
78,Saint-Philippe,-21.3585,55.7679,77.0,65,0,6.91,RE,clear sky
79,Gat,31.61,34.7642,55.99,100,23,3.0,IL,few clouds
80,Sioux Lookout,50.1001,-91.917,12.2,67,75,3.44,CA,broken clouds
81,Yerbogachen,61.2767,108.0108,-44.46,78,52,5.46,RU,broken clouds
82,Tabou,4.423,-7.3528,77.68,87,81,5.97,CI,broken clouds
83,Puerto Ayora,-0.7393,-90.3518,84.2,70,40,12.66,EC,light rain
84,Selma,36.5708,-119.6121,55.99,67,20,3.44,US,few clouds
85,Hermanus,-34.4187,19.2345,61.0,90,79,5.01,ZA,broken clouds
86,Ixtapa,20.7,-105.2,75.2,78,40,11.5,MX,scattered clouds
87,Panaba,21.2833,-88.2667,71.46,71,32,12.86,MX,scattered clouds
88,Arraial Do Cabo,-22.9661,-42.0278,78.44,81,51,27.38,BR,broken clouds
89,Severnoye,56.3491,78.3619,-5.22,90,100,7.09,RU,overcast clouds
90,Oktyabrskiy,54.4815,53.471,26.22,98,99,8.28,RU,overcast clouds
91,Phalombe,-15.8064,35.6507,68.41,92,99,2.13,MW,overcast clouds
92,Mehamn,71.0357,27.8492,23.0,74,75,8.05,NO,light snow
93,Kavaratti,10.5669,72.642,80.15,73,13,10.18,IN,few clouds
94,Manokwari,-0.8667,134.0833,79.63,75,100,4.99,ID,overcast clouds
95,Taoudenni,22.6783,-3.9836,71.17,22,0,12.53,ML,clear sky
96,Quatre Cocos,-20.2078,57.7625,80.6,78,40,6.91,MU,scattered clouds
97,Vaini,-21.2,-175.2,75.2,100,90,13.8,TO,moderate rain
