City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2021-01-26 20:42:19,69.4541,-133.0374,-16.6,76,40,12.66
1,Sorong,ID,2021-01-26 20:42:19,-0.8833,131.25,76.71,89,100,3.47
2,Honnali,IN,2021-01-26 20:42:19,14.25,75.6667,66.15,33,42,5.28
3,Punta Arenas,CL,2021-01-26 20:41:22,-53.15,-70.9167,50.0,46,20,32.21
4,Rikitea,PF,2021-01-26 20:42:20,-23.1203,-134.9692,80.15,69,33,11.86
5,Mataura,NZ,2021-01-26 20:42:21,-46.1927,168.8643,73.0,54,100,13.0
6,Lagoa,PT,2021-01-26 20:40:19,39.05,-27.9833,62.58,86,100,37.42
7,Kaitangata,NZ,2021-01-26 20:37:57,-46.2817,169.8464,62.01,70,100,3.91
8,Nikolskoye,RU,2021-01-26 20:42:22,59.7035,30.7861,35.01,93,75,8.95
9,Pervomayskiy,RU,2021-01-26 20:42:22,53.2485,40.2871,33.01,87,100,16.64
10,Georgetown,MY,2021-01-26 20:42:23,5.4112,100.3354,79.0,94,20,4.94
11,Moose Factory,CA,2021-01-26 20:42:23,51.2585,-80.6094,6.8,78,90,6.91
12,Arraial Do Cabo,BR,2021-01-26 20:42:23,-22.9661,-42.0278,84.2,65,0,17.27
13,Albany,US,2021-01-26 20:41:40,42.6001,-73.9662,27.0,75,100,9.37
14,Hasaki,JP,2021-01-26 20:39:11,35.7333,140.8333,44.6,93,75,3.44
15,Pangnirtung,CA,2021-01-26 20:33:15,66.1451,-65.7125,-4.0,84,1,4.61
16,Sibu,MY,2021-01-26 20:42:24,2.3,111.8167,74.21,94,100,0.98
17,Mar Del Plata,AR,2021-01-26 20:39:16,-38.0023,-57.5575,77.0,88,0,6.91
18,Marsa Matruh,EG,2021-01-26 20:42:25,31.3525,27.2453,60.8,36,0,11.5
19,Nuuk,GL,2021-01-26 20:42:25,64.1835,-51.7216,21.2,73,75,9.22
20,Pangody,RU,2021-01-26 20:42:26,65.85,74.4859,-27.65,86,100,2.59
21,Saint-Philippe,RE,2021-01-26 20:42:26,-21.3585,55.7679,77.0,73,0,4.61
22,Morondava,MG,2021-01-26 20:42:26,-20.2833,44.2833,82.38,77,15,7.23
23,East London,ZA,2021-01-26 20:38:57,-33.0153,27.9116,74.62,79,100,10.58
24,Hilo,US,2021-01-26 20:42:27,19.7297,-155.09,75.2,73,90,10.36
25,Hermanus,ZA,2021-01-26 20:42:27,-34.4187,19.2345,62.01,85,0,6.29
26,Ushuaia,AR,2021-01-26 20:39:18,-54.8,-68.3,42.8,70,90,28.77
27,Auki,SB,2021-01-26 20:42:28,-8.7676,160.7034,81.14,83,100,11.36
28,Karatuzskoye,RU,2021-01-26 20:42:28,53.6072,92.8667,-16.74,88,94,1.79
29,Richards Bay,ZA,2021-01-26 20:32:41,-28.783,32.0377,77.38,90,100,5.75
30,Atuona,PF,2021-01-26 20:42:28,-9.8,-139.0333,78.31,77,1,17.6
31,Geraldton,AU,2021-01-26 20:38:21,-28.7667,114.6,67.59,74,17,16.24
32,Quito,EC,2021-01-26 20:40:39,-0.2299,-78.5249,66.2,68,75,8.05
33,Teya,RU,2021-01-26 20:42:29,60.3778,92.6267,-38.29,76,64,3.56
34,Kodiak,US,2021-01-26 20:42:30,57.79,-152.4072,35.6,60,1,6.91
35,Ishigaki,JP,2021-01-26 20:32:44,24.3448,124.1572,67.33,77,6,18.97
36,Vidim,RU,2021-01-26 20:42:30,56.4088,103.1106,-24.9,84,97,3.33
37,Santa Marta,CO,2021-01-26 20:38:11,11.2408,-74.199,90.0,54,6,13.0
38,Cabra,ES,2021-01-26 20:42:31,37.4725,-4.4421,59.0,100,90,2.3
39,Ilinden,MK,2021-01-26 20:42:31,41.9961,21.5822,35.6,64,90,6.91
40,Half Moon Bay,US,2021-01-26 20:42:31,37.4636,-122.4286,52.0,76,1,14.97
41,Cabo San Lucas,MX,2021-01-26 20:39:28,22.8909,-109.9124,70.0,59,40,11.5
42,Ayolas,PY,2021-01-26 20:42:32,-27.4,-56.9,79.75,81,97,8.16
43,Carauari,BR,2021-01-26 20:42:32,-4.8828,-66.8958,84.78,77,100,3.09
44,Aswan,EG,2021-01-26 20:40:00,24.0934,32.907,61.84,27,11,7.18
45,Provideniya,RU,2021-01-26 20:42:32,64.3833,-173.3,6.8,78,90,8.95
46,Corpus Christi,US,2021-01-26 20:39:19,27.8006,-97.3964,78.01,57,75,9.22
47,Along,IN,2021-01-26 20:42:33,28.1667,94.7667,53.08,64,75,2.21
48,Chokurdakh,RU,2021-01-26 20:42:33,70.6333,147.9167,-27.98,81,100,6.4
49,Aneby,SE,2021-01-26 20:42:34,57.839,14.8102,21.2,93,1,3.44
50,Puerto Ayora,EC,2021-01-26 20:42:34,-0.7393,-90.3518,79.0,83,75,9.22
51,Malanje,AO,2021-01-26 20:42:34,-9.5402,16.341,64.2,94,95,2.39
52,Sola,VU,2021-01-26 20:42:35,-13.8833,167.55,83.35,80,100,22.91
53,Busselton,AU,2021-01-26 20:42:35,-33.65,115.3333,55.0,94,66,11.97
54,Ribeira Grande,PT,2021-01-26 20:42:35,38.5167,-28.7,64.4,88,75,20.71
55,Thompson,CA,2021-01-26 20:41:30,55.7435,-97.8558,-4.0,65,40,3.44
56,Taganak,PH,2021-01-26 20:39:56,6.0833,118.3,80.6,78,20,8.05
57,Carnarvon,AU,2021-01-26 20:42:36,-24.8667,113.6333,69.8,73,8,20.71
58,Vaini,TO,2021-01-26 20:42:36,-21.2,-175.2,78.8,89,75,6.91
59,Narsaq,GL,2021-01-26 20:42:36,60.9167,-46.05,23.0,30,20,23.02
60,Hay River,CA,2021-01-26 20:42:37,60.8156,-115.7999,-7.6,71,100,4.61
61,Butaritari,KI,2021-01-26 20:42:37,3.0707,172.7902,80.51,76,71,6.8
62,Roma,US,2021-01-26 20:42:37,43.2128,-75.4557,26.6,80,90,10.36
63,Lebu,CL,2021-01-26 20:39:12,-37.6167,-73.65,59.52,65,0,18.75
64,Bure,ET,2021-01-26 20:40:11,10.7,37.0667,63.18,46,49,6.08
65,Blacksburg,US,2021-01-26 20:39:28,37.2296,-80.4139,60.01,93,40,9.19
66,Pelym,RU,2021-01-26 20:42:38,61.0108,61.9978,23.85,95,11,8.84
67,Emerald,AU,2021-01-26 20:42:38,-23.5333,148.1667,75.2,83,75,1.14
68,Ostrovnoy,RU,2021-01-26 20:32:53,68.0531,39.5131,7.09,94,100,18.48
69,Hobart,AU,2021-01-26 20:37:41,-42.8794,147.3294,55.0,66,75,11.5
70,Bluff,NZ,2021-01-26 20:42:40,-46.6,168.3333,73.0,54,100,13.0
71,Lhokseumawe,ID,2021-01-26 20:42:40,5.1801,97.1507,75.83,84,98,2.64
72,Port Blair,IN,2021-01-26 20:39:08,11.6667,92.75,76.8,83,0,7.67
73,Tessalit,ML,2021-01-26 20:42:40,20.1986,1.0114,68.05,19,0,10.22
74,Pisco,PE,2021-01-26 20:39:03,-13.7,-76.2167,78.8,57,16,27.63
75,Ilulissat,GL,2021-01-26 20:42:41,69.2167,-51.1,12.2,62,75,19.57
76,Khatanga,RU,2021-01-26 20:42:41,71.9667,102.5,-24.93,82,52,8.5
77,Asau,RO,2021-01-26 20:42:41,46.4333,26.4,32.0,70,100,3.71
78,Mecca,SA,2021-01-26 20:42:42,21.4267,39.8261,73.76,68,0,4.43
79,Guerrero Negro,MX,2021-01-26 20:42:42,27.9769,-114.0611,62.04,46,0,18.88
80,Port Alfred,ZA,2021-01-26 20:42:42,-33.5906,26.891,69.01,95,87,1.99
81,Namtsy,RU,2021-01-26 20:42:43,62.7161,129.6658,-56.2,51,90,4.54
82,Beringovskiy,RU,2021-01-26 20:42:43,63.05,179.3167,-8.72,90,100,12.73
83,Castro,BR,2021-01-26 20:42:43,-24.7911,-50.0119,70.88,90,100,4.97
84,Lasa,IT,2021-01-26 20:42:43,46.6166,10.7002,30.2,64,0,7.02
85,Esso,RU,2021-01-26 20:42:44,55.9333,158.7,11.66,87,100,5.84
86,Havoysund,NO,2021-01-26 20:42:44,70.9963,24.6622,26.6,68,98,25.32
87,Cape Town,ZA,2021-01-26 20:41:25,-33.9258,18.4232,69.01,77,20,19.57
88,Adrar,MR,2021-01-26 20:39:41,20.5022,-10.0711,70.29,17,0,7.7
89,Fare,PF,2021-01-26 20:40:20,-16.7,-151.0167,81.21,75,12,16.11
90,Hervey Bay,AU,2021-01-26 20:42:45,-25.2986,152.8535,73.99,88,40,5.75
91,Clyde River,CA,2021-01-26 20:42:45,70.4692,-68.5914,5.0,72,40,27.63
92,Pula,HR,2021-01-26 20:42:45,44.8683,13.8481,35.6,75,0,2.3
93,Kruisfontein,ZA,2021-01-26 20:42:46,-34.0033,24.7314,72.0,82,7,1.01
94,Jamestown,US,2021-01-26 20:42:46,42.097,-79.2353,36.0,100,90,11.72
95,Tuatapere,NZ,2021-01-26 20:42:46,-46.1333,167.6833,73.0,54,100,13.0
96,Guarapari,BR,2021-01-26 20:38:19,-20.6667,-40.4975,86.0,69,20,16.11
97,Vardo,NO,2021-01-26 20:40:08,70.3705,31.1107,24.8,100,90,32.21
98,Sal Rei,CV,2021-01-26 20:42:47,16.1833,-22.9167,71.6,78,0,16.11
99,Poum,NC,2021-01-26 20:42:47,-20.2333,164.0167,80.26,74,100,14.41
100,Victoria,HK,2021-01-26 20:42:42,22.2855,114.1577,66.0,77,5,17.85
101,Bredasdorp,ZA,2021-01-26 20:39:46,-34.5322,20.0403,62.6,77,0,1.14
102,Airai,TL,2021-01-26 20:42:48,-8.9266,125.4092,59.74,100,98,3.09
103,Vitry-Le-Francois,FR,2021-01-26 20:42:48,48.7333,4.5833,35.6,75,0,6.91
104,Sao Joao Da Barra,BR,2021-01-26 20:42:48,-21.6403,-41.0511,84.2,58,0,23.02
105,Datong,CN,2021-01-26 20:42:48,40.0936,113.2914,20.14,81,100,7.14
106,Ballina,AU,2021-01-26 20:39:20,-28.8667,153.5667,71.6,94,8,6.35
107,Pandan,PH,2021-01-26 20:42:49,14.0453,124.1694,77.5,86,95,7.23
108,Upernavik,GL,2021-01-26 20:42:49,72.7868,-56.1549,1.18,88,100,12.77
109,Port Hardy,CA,2021-01-26 20:39:26,50.6996,-127.4199,42.8,81,75,27.63
110,Amahai,ID,2021-01-26 20:42:50,-3.3333,128.9167,84.99,76,89,1.99
111,Santo Tomas,PH,2021-01-26 20:42:50,14.1079,121.1414,78.8,83,75,2.3
112,Flinders,AU,2021-01-26 20:42:50,-34.5833,150.8552,71.01,82,100,5.99
113,Ambon,ID,2021-01-26 20:42:51,-3.6954,128.1814,84.99,76,100,1.99
114,Kapaa,US,2021-01-26 20:39:18,22.0752,-159.319,77.0,83,90,19.57
115,Wellington,NZ,2021-01-26 20:42:30,-41.2866,174.7756,68.0,77,20,21.85
116,Ancud,CL,2021-01-26 20:42:51,-41.8697,-73.8203,62.6,48,75,10.36
117,Tura,IN,2021-01-26 20:42:52,25.5198,90.2201,55.81,59,0,2.66
118,Makakilo City,US,2021-01-26 20:38:20,21.3469,-158.0858,77.0,69,1,8.05
119,Brigantine,US,2021-01-26 20:42:52,39.4101,-74.3646,43.0,93,90,12.66
120,Minsk,BY,2021-01-26 20:33:33,53.9,27.5667,32.0,93,90,15.66
121,Saskylakh,RU,2021-01-26 20:42:53,71.9167,114.0833,-34.65,82,15,1.74
122,Jinka,ET,2021-01-26 20:42:53,5.65,36.65,67.17,40,58,1.3
123,Kahului,US,2021-01-26 20:39:42,20.8947,-156.47,77.0,65,40,19.57
124,Marienburg,PL,2021-01-26 20:42:53,54.0359,19.0266,33.01,100,100,12.44
125,Avarua,CK,2021-01-26 20:42:54,-21.2078,-159.775,86.0,66,80,17.27
126,Talnakh,RU,2021-01-26 20:39:05,69.4865,88.3972,-23.24,81,100,9.22
127,Christchurch,NZ,2021-01-26 20:38:38,-43.5333,172.6333,82.4,32,0,4.61
128,Istok,XK,2021-01-26 20:42:54,42.7808,20.4875,28.4,74,75,8.05
129,Dikson,RU,2021-01-26 20:42:55,73.5069,80.5464,-24.27,85,100,6.11
130,Khuzhir,RU,2021-01-26 20:42:55,53.1939,107.3397,-10.59,79,32,10.07
131,Santa Isabel Do Rio Negro,BR,2021-01-26 20:42:30,-0.4139,-65.0192,87.4,61,60,3.15
132,Lae,PG,2021-01-26 20:42:55,-6.7221,146.9847,77.23,78,100,6.11
133,Winnipeg,CA,2021-01-26 20:37:56,49.8844,-97.147,-11.0,64,48,4.61
134,Vaitape,PF,2021-01-26 20:42:56,-16.5167,-151.75,81.18,74,31,17.13
135,Hofn,IS,2021-01-26 20:42:56,64.2539,-15.2082,25.83,89,33,26.8
136,Karratha,AU,2021-01-26 20:42:56,-20.7377,116.8463,84.61,24,15,12.82
137,Matara,LK,2021-01-26 20:42:57,5.9485,80.5353,70.99,88,100,4.79
138,Yerbogachen,RU,2021-01-26 20:39:30,61.2767,108.0108,-43.35,80,90,1.7
139,Sabha,LY,2021-01-26 20:42:57,27.0377,14.4283,60.48,31,0,10.0
140,Manokwari,ID,2021-01-26 20:42:58,-0.8667,134.0833,77.31,83,100,5.35
141,Maniitsoq,GL,2021-01-26 20:42:58,65.4167,-52.9,13.37,88,87,5.93
142,Coquimbo,CL,2021-01-26 20:40:44,-29.9533,-71.3436,66.2,72,40,11.5
143,Aranos,NA,2021-01-26 20:42:58,-24.1333,19.1167,78.39,49,37,10.22
144,Lorengau,PG,2021-01-26 20:42:59,-2.0226,147.2712,82.89,75,99,10.02
145,Yellowknife,CA,2021-01-26 20:42:59,62.456,-114.3525,-11.99,70,75,9.22
146,Carutapera,BR,2021-01-26 20:42:59,-1.195,-46.02,80.92,77,28,6.96
147,Houston,US,2021-01-26 20:38:29,29.7633,-95.3633,77.0,27,90,10.36
148,Ponta Do Sol,PT,2021-01-26 20:39:56,32.6667,-17.1,60.01,74,21,1.01
149,New Norfolk,AU,2021-01-26 20:43:00,-42.7826,147.0587,55.0,67,4,1.01
150,Chuy,UY,2021-01-26 20:40:24,-33.6971,-53.4616,83.07,57,45,9.04
151,Saint-Augustin,CA,2021-01-26 20:43:00,51.226,-58.6502,27.64,93,47,14.67
152,Voh,NC,2021-01-26 20:43:01,-20.9667,164.7,79.16,74,65,6.76
153,Alexandria,EG,2021-01-26 20:40:24,31.2156,29.9553,59.0,77,0,3.44
154,Taltal,CL,2021-01-26 20:39:31,-25.4,-70.4833,71.53,58,22,8.28
155,Anadyr,RU,2021-01-26 20:43:02,64.75,177.4833,-9.0,77,0,4.47
156,Luderitz,NA,2021-01-26 20:43:02,-26.6481,15.1594,68.25,63,54,25.19
157,Altamira,BR,2021-01-26 20:43:02,-3.2033,-52.2064,77.0,94,40,2.3
158,Ketchikan,US,2021-01-26 20:40:08,55.3422,-131.6461,32.0,69,1,6.91
159,Bandarbeyla,SO,2021-01-26 20:33:10,9.4942,50.8122,72.82,78,4,19.15
160,Yarmouth,US,2021-01-26 20:43:03,41.7057,-70.2286,36.0,64,90,4.61
161,Atar,MR,2021-01-26 20:43:04,20.5169,-13.0499,71.46,19,0,7.23
162,Severo-Kurilsk,RU,2021-01-26 20:43:04,50.6789,156.125,24.22,95,83,22.53
163,Hovd,MN,2021-01-26 20:43:04,48.0056,91.6419,-3.93,77,0,1.23
164,Taoudenni,ML,2021-01-26 20:40:36,22.6783,-3.9836,73.26,19,0,12.57
165,Hurghada,EG,2021-01-26 20:43:05,27.2574,33.8129,60.8,67,0,6.91
166,Zambezi,ZM,2021-01-26 20:43:05,-13.5432,23.1047,66.0,97,100,3.13
167,Arman,RU,2021-01-26 20:43:05,59.7,150.1667,-10.37,82,97,11.3
168,Hami,CN,2021-01-26 20:39:10,42.8,93.45,18.36,81,8,7.47
169,Chancay,PE,2021-01-26 20:43:06,-11.5714,-77.2672,75.2,64,0,13.8
170,Kiama,AU,2021-01-26 20:43:06,-34.6833,150.8667,71.01,95,100,1.01
171,Zacatepec,MX,2021-01-26 20:43:06,18.65,-99.2,88.0,30,1,5.75
172,Butka,RU,2021-01-26 20:43:07,56.7179,63.7866,21.76,96,100,10.02
173,Barrow,US,2021-01-26 20:43:07,71.2906,-156.7887,-11.2,77,1,4.61
174,Belaya Gora,RU,2021-01-26 20:43:07,68.5333,146.4167,-30.73,82,100,1.88
175,Sao Filipe,CV,2021-01-26 20:39:54,14.8961,-24.4956,74.44,66,0,4.7
176,Trincomalee,LK,2021-01-26 20:43:08,8.5711,81.2335,77.02,72,65,13.33
177,San Cristobal,VE,2021-01-26 20:43:08,7.7669,-72.225,86.0,54,40,10.36
178,Gat,IL,2021-01-26 20:43:08,31.61,34.7642,54.0,76,0,2.3
179,Yzeure,FR,2021-01-26 20:43:08,46.5644,3.355,37.0,86,0,3.44
180,College,US,2021-01-26 20:43:09,64.8569,-147.8028,-6.0,69,75,3.44
181,Bethel,US,2021-01-26 20:43:09,41.3712,-73.414,28.4,80,90,6.91
182,Vao,NC,2021-01-26 20:43:09,-22.6667,167.4833,77.14,75,3,21.5
183,Isla Vista,US,2021-01-26 20:42:57,34.4133,-119.861,57.0,38,1,13.8
184,Aptos,US,2021-01-26 20:43:10,36.9772,-121.8994,50.0,62,75,6.91
185,Saint Anthony,US,2021-01-26 20:43:10,45.0205,-93.218,19.4,58,1,5.75
186,Longyearbyen,SJ,2021-01-26 20:43:10,78.2186,15.6401,5.0,39,0,19.57
187,Smithers,CA,2021-01-26 20:43:10,54.7804,-127.1743,19.4,93,75,0.85
188,Pevek,RU,2021-01-26 20:42:15,69.7008,170.3133,-30.24,85,15,2.35
189,Torbay,CA,2021-01-26 20:43:11,47.6666,-52.7314,34.0,100,90,19.57
190,Bud,US,2021-01-26 20:43:11,39.447,-86.1758,37.0,89,98,13.91
191,Qaanaaq,GL,2021-01-26 20:43:11,77.484,-69.3632,-13.68,65,0,7.85
192,Jinchang,CN,2021-01-26 20:43:12,38.4953,102.1739,19.72,74,2,7.4
193,Merrill,US,2021-01-26 20:43:12,45.1805,-89.6835,21.2,63,75,10.36
194,Yerofey Pavlovich,RU,2021-01-26 20:43:12,53.9667,121.9667,-19.95,82,100,5.08
195,Beyneu,KZ,2021-01-26 20:43:13,45.3167,55.2,29.28,94,58,13.53
196,Mezen,RU,2021-01-26 20:43:13,65.8522,44.24,17.74,97,100,8.61
197,Gdynia,PL,2021-01-26 20:43:13,54.5189,18.5319,33.01,80,75,14.97
198,Bolobo,CD,2021-01-26 20:43:13,-2.1667,16.2333,73.78,88,18,1.14
199,Yokadouma,CM,2021-01-26 20:43:13,3.5167,15.05,75.51,58,20,1.9
200,Awbari,LY,2021-01-26 20:40:09,26.5921,12.7805,60.1,32,0,7.0
201,Saint George,US,2021-01-26 20:38:21,37.1041,-113.5841,39.2,52,1,4.61
202,Manitouwadge,CA,2021-01-26 20:43:14,49.1215,-85.8403,10.4,66,40,11.5
203,Fortuna,US,2021-01-26 20:39:24,40.5982,-124.1573,42.01,93,1,28.77
204,Vostok,RU,2021-01-26 20:43:15,46.4856,135.8833,8.71,95,100,3.98
205,La Rioja,ES,2021-01-26 20:40:00,42.25,-2.5,53.6,82,90,5.91
206,Touros,BR,2021-01-26 20:43:15,-5.1989,-35.4608,82.4,69,0,16.11
207,Slavyanka,RU,2021-01-26 20:43:16,42.8633,131.3847,17.26,86,0,9.31
208,Namibe,AO,2021-01-26 20:40:53,-15.1961,12.1522,76.69,74,16,8.5
209,Odweyne,SO,2021-01-26 20:43:16,9.4092,45.064,65.41,43,0,4.03
210,Dali,CN,2021-01-26 20:43:16,25.7,100.1833,39.87,71,0,4.23
211,Nha Trang,VN,2021-01-26 20:43:16,12.25,109.1833,73.4,83,20,13.8
212,Los Llanos De Aridane,ES,2021-01-26 20:43:17,28.6585,-17.9182,64.4,72,20,10.36
213,Puerto Baquerizo Moreno,EC,2021-01-26 20:43:17,-0.9,-89.6,84.2,84,75,14.97
214,Wewak,PG,2021-01-26 20:43:17,-3.5534,143.6268,78.98,83,100,1.81
215,Salalah,OM,2021-01-26 20:39:08,17.0151,54.0924,69.8,68,0,4.61
216,Aklavik,CA,2021-01-26 20:39:15,68.2191,-135.0107,-11.2,84,71,4.61
217,Oia,PT,2021-01-26 20:43:18,40.5426,-8.5386,60.01,96,100,2.8
218,Khilok,RU,2021-01-26 20:43:18,51.3674,110.4676,-17.93,84,95,6.67
219,Norman Wells,CA,2021-01-26 20:43:18,65.282,-126.8329,-16.6,83,75,3.44
220,Lisala,CD,2021-01-26 20:41:17,2.15,21.5167,75.72,66,0,1.59
221,Caravelas,BR,2021-01-26 20:43:19,-17.7125,-39.2481,78.46,75,100,7.23
222,Yar-Sale,RU,2021-01-26 20:43:19,66.8333,70.8333,-31.83,83,12,11.63
223,Anaconda,US,2021-01-26 20:43:19,46.1285,-112.9423,21.99,58,1,3.44
224,Labuan,MY,2021-01-26 20:43:20,5.2767,115.2417,77.0,94,40,7.38
225,Seoul,KR,2021-01-26 20:43:20,37.5683,126.9778,33.8,64,0,1.14
226,Outlook,CA,2021-01-26 20:43:20,51.5001,-107.0513,-0.99,77,83,19.57
227,Kysyl-Syr,RU,2021-01-26 20:43:20,63.8986,122.7617,-52.38,76,58,3.78
228,La Ronge,CA,2021-01-26 20:43:21,55.1001,-105.2842,-20.2,69,37,3.44
229,Kavaratti,IN,2021-01-26 20:43:21,10.5669,72.642,80.78,68,2,10.02
230,Sanmenxia,CN,2021-01-26 20:43:21,34.7747,111.1814,38.1,64,100,4.76
231,Carberry,CA,2021-01-26 20:43:22,49.8689,-99.3602,-11.2,70,20,2.3
232,Chapais,CA,2021-01-26 20:43:22,49.7834,-74.8492,17.6,73,75,3.44
233,Tual,ID,2021-01-26 20:43:22,-5.6667,132.75,83.28,77,100,22.53
234,Isangel,VU,2021-01-26 20:43:23,-19.55,169.2667,80.6,83,75,21.23
235,Trinidad,BO,2021-01-26 20:43:23,-14.8333,-64.9,78.8,94,90,5.75
236,Khorixas,NA,2021-01-26 20:43:23,-20.3667,14.9667,68.43,72,70,9.19
